Point,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37
P14,11.1,10.8,21.0,15.5,15.6,15.5,15.5,17.6,17.4,0.1,0.1,0.1,0.1,inf,0.1,0.1,0.1,17.8,5.2,4.9,4.9,44.3,21.4,20.5,21.1,21.1,21.0,21.0,21.0,21.0,20.9,20.7,inf,inf,inf,inf,49.6
P15,11.1,10.8,21.0,15.5,15.6,15.5,15.5,17.6,17.4,0.1,0.1,0.1,0.1,0.1,inf,0.1,0.1,17.8,5.2,4.9,4.9,44.3,21.4,20.5,21.1,21.1,21.0,21.0,21.0,21.0,20.9,20.7,inf,inf,inf,inf,49.6
P16,11.1,10.8,21.0,15.5,15.6,15.5,15.5,17.6,17.4,0.1,0.1,0.1,0.1,0.1,0.1,inf,0.1,17.8,5.2,4.9,4.9,44.3,21.4,20.5,21.1,21.1,21.0,21.0,21.0,21.0,20.9,20.7,inf,inf,inf,inf,49.6
P17,11.0,10.8,21.0,15.5,15.6,15.5,15.5,17.6,17.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,inf,17.8,5.2,4.9,4.9,44.3,21.4,20.5,21.1,21.1,21.0,21.0,21.0,21.0,20.9,20.7,inf,inf,inf,inf,49.6
P18,29.9,29.6,21.5,27.9,27.9,27.9,27.9,47.7,47.2,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,inf,39.8,47.9,41.9,71.6,20.5,21.0,54.4,54.4,54.3,54.5,54.4,54.4,54.2,54.0,inf,inf,inf,inf,77.0
P19,11.8,11.5,24.6,16.5,16.5,16.5,16.5,19.7,19.6,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,19.9,inf,0.2,0.3,35.6,25.0,24.1,17.7,17.7,17.6,17.7,17.7,17.7,17.5,17.3,inf,inf,inf,inf,51.8
P20,13.9,13.6,24.3,18.8,18.9,18.9,18.9,19.5,19.3,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,19.6,0.2,inf,0.1,35.3,24.7,23.8,17.4,17.4,17.3,17.4,17.4,17.4,17.2,17.0,inf,inf,inf,inf,51.3
P21,13.9,13.6,24.3,18.8,18.9,18.9,18.9,19.5,19.3,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,19.6,0.2,0.1,inf,35.2,24.7,23.8,17.4,17.4,17.3,17.4,17.4,17.4,17.2,17.0,inf,inf,inf,inf,51.4
P22,45.9,45.6,46.3,47.1,47.2,47.2,47.2,42.8,42.6,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,35.6,35.3,35.2,inf,46.7,45.8,21.9,21.9,21.8,21.9,21.9,21.9,20.4,20.6,inf,inf,inf,inf,20.1
P23,22.3,22.0,2.4,8.8,8.8,8.8,8.8,29.1,28.9,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,29.2,23.8,23.5,23.4,46.7,inf,1.9,36.5,36.5,36.4,36.5,36.5,36.5,36.3,36.0,inf,inf,inf,inf,59.7
P24,22.8,22.5,2.9,7.9,7.9,7.9,7.9,28.2,28.0,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,28.3,22.9,22.6,22.5,45.8,1.9,inf,35.6,35.6,35.4,35.6,35.6,35.4,35.4,35.1,inf,inf,inf,inf,58.8
P25,28.0,27.7,36.7,34.1,34.2,34.2,26.0,25.8,25.8,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,26.2,17.7,17.4,17.3,22.4,37.1,36.2,inf,0.1,0.1,0.1,0.1,0.1,1.5,1.3,inf,inf,inf,inf,34.2
P26,28.0,27.7,36.7,34.1,34.2,34.2,26.0,25.8,25.8,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,26.2,17.7,17.4,17.3,22.4,37.1,36.2,0.1,inf,0.1,0.1,0.1,0.1,1.5,1.3,inf,inf,inf,inf,34.2
P27,27.9,27.6,36.6,34.0,34.1,34.1,25.9,25.7,25.7,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,26.1,17.6,17.3,17.2,22.3,37.0,36.1,0.1,0.1,inf,0.1,0.1,0.1,1.4,1.2,inf,inf,inf,inf,34.1
P28,28.0,27.7,36.7,34.1,34.2,34.2,26.0,25.8,25.8,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,26.2,17.7,17.4,17.3,22.4,37.1,36.2,0.1,0.1,0.1,inf,0.1,0.1,1.6,1.3,inf,inf,inf,inf,34.4
P29,28.0,27.7,36.7,34.1,34.2,34.2,26.0,25.8,25.8,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,26.2,17.7,17.4,17.3,22.4,37.1,36.2,0.1,0.1,0.1,0.1,inf,0.1,1.6,1.3,inf,inf,inf,inf,34.2
P30,27.9,27.6,36.5,34.0,34.1,34.1,34.1,25.9,25.7,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,26.1,17.6,17.3,17.2,22.2,37.0,36.1,0.1,0.1,0.1,0.1,0.1,inf,1.4,1.2,inf,inf,inf,inf,34.1
P31,27.8,27.5,36.4,33.9,34.0,34.0,34.0,25.8,25.6,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,26.0,17.5,17.2,17.1,22.1,36.9,36.0,1.5,1.5,1.4,1.6,1.5,1.4,inf,0.2,inf,inf,inf,inf,32.7
P32,27.6,27.3,36.2,33.7,33.8,33.8,33.8,25.6,25.4,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,25.8,17.3,17.0,16.9,21.9,36.7,35.8,1.3,1.3,1.2,1.4,1.3,1.2,0.1,inf,inf,inf,inf,inf,32.9
P33,7.7,7.4,15.5,11.6,11.7,11.7,11.7,20.5,20.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,20.7,5.3,5.6,5.7,40.8,15.9,15.0,22.9,22.9,22.8,23.0,22.9,22.8,22.7,22.5,inf,inf,inf,inf,inf
P34,10.4,10.1,12.0,10.1,10.2,10.2,10.2,26.8,26.6,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,27.0,15.7,17.9,17.9,49.9,10.9,11.5,32.0,32.0,31.9,32.1,32.0,31.9,31.8,31.6,inf,inf,inf,inf,inf
P35,26.9,26.6,25.0,18.4,26.5,26.5,26.5,12.2,12.0,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,12.4,16.5,16.3,16.2,26.6,25.4,24.5,14.3,14.3,14.2,14.4,14.4,14.2,14.1,13.8,inf,inf,inf,inf,inf
P36,45.8,45.5,46.2,47.0,47.0,47.0,47.0,42.1,41.9,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,42.2,35.4,35.2,35.1,9.0,46.6,45.7,21.8,21.8,21.7,21.9,21.8,21.7,20.3,20.5,inf,inf,inf,inf,inf
P37,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
